"difficulty","ability","prob"
-2,-4,0.119202922022118
-2,-3.5,0.182425523806356
-2,-3,0.268941421369995
-2,-2.5,0.377540668798145
-2,-2,0.5
-2,-1.5,0.622459331201855
-2,-1,0.731058578630005
-2,-0.5,0.817574476193644
-2,0,0.880797077977882
-2,0.5,0.924141819978756
-2,1,0.952574126822433
-2,1.5,0.970687769248644
-2,2,0.982013790037908
-2,2.5,0.989013057369407
-2,3,0.993307149075715
-2,3.5,0.995929862284104
-2,4,0.997527376843365
-3,-4,0.268941421369995
-3,-3.5,0.377540668798145
-3,-3,0.5
-3,-2.5,0.622459331201855
-3,-2,0.731058578630005
-3,-1.5,0.817574476193644
-3,-1,0.880797077977882
-3,-0.5,0.924141819978756
-3,0,0.952574126822433
-3,0.5,0.970687769248644
-3,1,0.982013790037908
-3,1.5,0.989013057369407
-3,2,0.993307149075715
-3,2.5,0.995929862284104
-3,3,0.997527376843365
-3,3.5,0.998498817743263
-3,4,0.999088948805599
-1,-4,0.0474258731775668
-1,-3.5,0.0758581800212436
-1,-3,0.119202922022118
-1,-2.5,0.182425523806356
-1,-2,0.268941421369995
-1,-1.5,0.377540668798145
-1,-1,0.5
-1,-0.5,0.622459331201855
-1,0,0.731058578630005
-1,0.5,0.817574476193644
-1,1,0.880797077977882
-1,1.5,0.924141819978756
-1,2,0.952574126822433
-1,2.5,0.970687769248644
-1,3,0.982013790037908
-1,3.5,0.989013057369407
-1,4,0.993307149075715
0,-4,0.0179862099620916
0,-3.5,0.0293122307513563
0,-3,0.0474258731775668
0,-2.5,0.0758581800212436
0,-2,0.119202922022118
0,-1.5,0.182425523806356
0,-1,0.268941421369995
0,-0.5,0.377540668798145
0,0,0.5
0,0.5,0.622459331201855
0,1,0.731058578630005
0,1.5,0.817574476193644
0,2,0.880797077977882
0,2.5,0.924141819978756
0,3,0.952574126822433
0,3.5,0.970687769248644
0,4,0.982013790037908
1,-4,0.00669285092428486
1,-3.5,0.0109869426305932
1,-3,0.0179862099620916
1,-2.5,0.0293122307513563
1,-2,0.0474258731775668
1,-1.5,0.0758581800212436
1,-1,0.119202922022118
1,-0.5,0.182425523806356
1,0,0.268941421369995
1,0.5,0.377540668798145
1,1,0.5
1,1.5,0.622459331201855
1,2,0.731058578630005
1,2.5,0.817574476193644
1,3,0.880797077977882
1,3.5,0.924141819978756
1,4,0.952574126822433
2,-4,0.00247262315663477
2,-3.5,0.00407013771589613
2,-3,0.00669285092428486
2,-2.5,0.0109869426305932
2,-2,0.0179862099620916
2,-1.5,0.0293122307513563
2,-1,0.0474258731775668
2,-0.5,0.0758581800212436
2,0,0.119202922022118
2,0.5,0.182425523806356
2,1,0.268941421369995
2,1.5,0.377540668798145
2,2,0.5
2,2.5,0.622459331201855
2,3,0.731058578630005
2,3.5,0.817574476193644
2,4,0.880797077977882
3,-4,0.000911051194400645
3,-3.5,0.00150118225673699
3,-3,0.00247262315663477
3,-2.5,0.00407013771589613
3,-2,0.00669285092428486
3,-1.5,0.0109869426305932
3,-1,0.0179862099620916
3,-0.5,0.0293122307513563
3,0,0.0474258731775668
3,0.5,0.0758581800212436
3,1,0.119202922022118
3,1.5,0.182425523806356
3,2,0.268941421369995
3,2.5,0.377540668798145
3,3,0.5
3,3.5,0.622459331201855
3,4,0.731058578630005
